ID,Category,Title,Purpose,Priority,Prompt_File
IMG-001,분야별/가시설,가시설 계측 전체 개념도,굴착 단면 개요 — 좌→우 단면·흐름도 금지,A,prompts/IMG-001_가시설_계측_전체_개념도.md
IMG-002,분야별/가시설,흙막이 계측 설치 대표 단면도,"[좌]인접건물|배면|벽체|[우]굴착 단면+11종 계측기(데이터로거 포함), 흐름도 금지",A,prompts/IMG-002_흙막이_벽체_계측_배치도.md
IMG-003,분야별/가시설,버팀보 하중계 설치 개념도,띠장–버팀보 접합부(끝단) 축압축력 하중계 — 보 정중앙 금지,A,prompts/IMG-003_버팀보_하중계_설치_개념도.md
IMG-004,분야별/가시설,어스앵커 하중계 설치 개념도,굴착측 노출 앵커 두부 하중계(지지링·반력판–하중계–앵커헤드–강연선) 구성,A,prompts/IMG-004_어스앵커_하중계_설치_개념도.md
IMG-005,분야별/가시설,주변건물 균열·경사 계측도,굴착 주변 건물의 균열계와 경사계 배치,A,prompts/IMG-005_주변건물_균열_경사_계측도.md
IMG-006,분야별/가시설,굴착 단계별 계측 흐름도,1~최종 굴착 단계·계측 운영 루프·끝단 하중계,B,prompts/IMG-006_굴착_단계별_계측_흐름도.md
IMG-007,분야별/터널,터널 계측 전체 개념도,NATM 터널 단면과 주요 계측 항목 표시,A,prompts/IMG-007_터널_계측_전체_개념도.md
IMG-008,분야별/터널,터널 전단면 내공변위 측정시스템,내공변위계 Kit 체인으로 상부 아치 전단면 변위 프로파일 산정 원리 설명,A,prompts/IMG-008_터널_전단면_내공변위_측정시스템.md
IMG-009,분야별/터널,록볼트 축력·숏크리트 응력 계측도,지보재 거동 계측 위치와 센서 표현,B,prompts/IMG-009_록볼트_축력_숏크리트_응력_계측도.md
IMG-010,분야별/터널,터널 지표침하 계측도,터널 상부 지표 침하계와 자동광파기 배치,B,prompts/IMG-010_터널_지표침하_계측도.md
IMG-011,분야별/교량,교량 계측 전체 개념도,"상부구조·교각·교대·기초, 10종 계측(⑥ 케이블장력계·④ 처짐계 등)",A,prompts/IMG-011_교량_계측_전체_개념도.md
IMG-012,분야별/교량,교각 변위·경사 계측도,교각 상하부 경사계와 변위계 설치 표현,A,prompts/IMG-012_교각_변위_경사_계측도.md
IMG-013,분야별/교량,교량 기초 침하 계측 배치도,"기초·교각·주변 지반 침하 측점, 지표침하계, ATS, 지하수위계(보조) 배치",B,prompts/IMG-013_교량_기초_침하_계측도.md
IMG-014,분야별/교량,교량 신축이음부 신축량 계측도,핑거형 신축이음·신축이음계 설치,B,prompts/IMG-014_신축이음_변위_계측도.md
IMG-015,분야별/사면,사면 계측 전체 개념도,"사면 활동면, 지중경사계, 지하수위계 배치",A,prompts/IMG-015_사면_계측_전체_개념도.md
IMG-016,분야별/사면,원호활동면 계측 해석도,원호파괴와 지중경사계 변위 프로파일 관계,A,prompts/IMG-016_원호활동면_계측_해석도.md
IMG-017,분야별/사면,평면활동면 계측 해석도,암반사면 평면파괴와 계측기 배치,B,prompts/IMG-017_평면활동면_계측_해석도.md
IMG-018,분야별/사면,강우-지하수위-변위 상관도,강우 후 수위 상승과 변위 증가 흐름,A,prompts/IMG-018_강우-지하수위-변위_상관도.md
IMG-019,분야별/연약지반,연약지반 계측 전체 개념도,"성토, 침하, 간극수압, 측방유동 계측",A,prompts/IMG-019_연약지반_계측_전체_개념도.md
IMG-020,분야별/연약지반,압밀 침하 계측 개념도,시간-침하-간극수압 소산 관계,A,prompts/IMG-020_압밀_침하_계측_개념도.md
IMG-021,분야별/연약지반,측방유동 계측도,성토 하부 연약층의 측방변위와 지중경사계,B,prompts/IMG-021_측방유동_계측도.md
IMG-022,분야별/구조물,구조물 안전계측 전체 개념도,"균열, 경사, 진동, 변위 계측 통합 표현",A,prompts/IMG-022_구조물_안전계측_전체_개념도.md
IMG-023,분야별/철도,철도 노반 계측 개념도,철도 노반 침하·진동·변위 계측,B,prompts/IMG-023_철도_노반_계측_개념도.md
IMG-024,분야별/댐,댐 안전관리 계측 체계도,"필댐 6항목·침윤선·누수·데이터 흐름",B,prompts/IMG-024_댐_계측_개념도.md
IMG-025,센서별/지중경사계,지중경사계 시스템 구성도,"Probe, Cable, Readout, Casing 구성",A,prompts/IMG-025_지중경사계_시스템_구성도.md
IMG-026,센서별/지중경사계,지중경사계 케이싱 단면도,Guide groove 4방향과 Probe wheel 구조,A,prompts/IMG-026_지중경사계_케이싱_단면도.md
IMG-027,센서별/지중경사계,지중경사계 설치 단면도,"보링공, 그라우트, 안정층 근입, 활동면 표시",A,prompts/IMG-027_지중경사계_설치_단면도.md
IMG-028,센서별/지중경사계,지중경사계 측정 원리도,기울기 측정에서 누적변위 계산까지,A,prompts/IMG-028_지중경사계_측정_원리도.md
IMG-029,센서별/지중경사계,지중경사계 데이터 해석도,Incremental/Cumulative 변위 그래프와 활동면,A,prompts/IMG-029_지중경사계_데이터_해석도.md
IMG-030,센서별/지하수위계,지하수위계 설치 개념도,"관측공, 수위 센서, 케이블, 보호함 표현",A,prompts/IMG-030_지하수위계_설치_개념도.md
IMG-031,센서별/간극수압계,간극수압계 설치도,"토층 내부 필터·그라우트·케이블, 지하수위계와 구분",A,prompts/IMG-031_간극수압계_설치도.md
IMG-032,센서별/침하계,침하판·침하계 설치 개념도,"성토 하부 침하판과 연장봉, 보호관 표시",A,prompts/IMG-032_침하판_침하계_설치_개념도.md
IMG-033,센서별/층별침하계,층별침하계 개념도,"자석 링, 기준관, 층별 침하 측정 원리",A,prompts/IMG-033_층별침하계_개념도.md
IMG-034,센서별/토압계,토압계 설치 개념도,흙막이 배면 또는 성토부 토압계 설치,A,prompts/IMG-034_토압계_설치_개념도.md
IMG-035,센서별/하중계,하중계 설치 개념도,버팀보/앵커 하중계의 하중 전달 구조,A,prompts/IMG-035_하중계_설치_개념도.md
IMG-036,센서별/변형률계,변형률계 설치 개념도,철근 또는 강재 표면 부착형 변형률계,B,prompts/IMG-036_변형률계_설치_개념도.md
IMG-037,센서별/균열계,균열계 설치 개념도,균열 양측 앵커와 변위 측정 방향 표시,A,prompts/IMG-037_균열계_설치_개념도.md
IMG-038,센서별/구조물경사계,구조물 경사계 설치도,벽체 또는 교각 표면 경사계 설치,A,prompts/IMG-038_구조물_경사계_설치도.md
IMG-039,센서별/신축계,신축계 설치 개념도,"이음부, 조인트, 상대변위 측정",B,prompts/IMG-039_신축계_설치_개념도.md
IMG-040,센서별/변위계,변위계 설치 개념도,기준점과 대상점 사이 변위 측정,A,prompts/IMG-040_변위계_설치_개념도.md
IMG-041,센서별/진동계,진동계 설치 개념도,구조물 또는 지반 진동 센서와 3축 방향,A,prompts/IMG-041_진동계_설치_개념도.md
IMG-042,센서별/자동광파기,자동광파기 계측 개념도,"Total station, prism, 좌표 변위 측정",A,prompts/IMG-042_자동광파기_계측_개념도.md
IMG-043,센서별/GNSS,GNSS 변위 계측 개념도,"GNSS 안테나, 기준국, 이동국, 서버 연결",B,prompts/IMG-043_GNSS_변위_계측_개념도.md
IMG-044,센서별/기상계측기,기상계측기 구성도,"강우량, 풍향풍속, 온습도, 기압 센서",B,prompts/IMG-044_기상계측기_구성도.md
IMG-045,시스템/데이터로거,데이터로거 구성도,"센서 입력, 전원, 통신, 저장 장치 구성",A,prompts/IMG-045_데이터로거_구성도.md
IMG-046,시스템/게이트웨이,IoT 게이트웨이 구성도,현장 센서와 서버 사이 통신 중계,A,prompts/IMG-046_IoT_게이트웨이_구성도.md
IMG-047,시스템/전원,태양광 전원 시스템 구성도,"태양광 패널, 충전 컨트롤러, 배터리, 로거",B,prompts/IMG-047_태양광_전원_시스템_구성도.md
IMG-048,시스템/통신,LTE M2M 통신 구성도,센서-로거-LTE M2M 모뎀-서버-웹-모바일 흐름,A,prompts/IMG-048_LTE_원격계측_통신_구성도.md
IMG-049,데이터/그래프,변위 그래프 예시,관리기준선과 실시간 변위 추세 그래프,A,prompts/IMG-049_변위_그래프_예시.md
IMG-050,데이터/그래프,침하 그래프 예시,시간-침하 곡선과 예측 침하선,A,prompts/IMG-050_침하_그래프_예시.md
IMG-051,데이터/그래프,간극수압 소산 그래프,성토 단계와 간극수압 상승/소산,B,prompts/IMG-051_간극수압_소산_그래프.md
IMG-052,데이터/그래프,하중 변화 그래프,버팀보 하중 변화와 경보 기준선,B,prompts/IMG-052_하중_변화_그래프.md
IMG-053,데이터/그래프,진동 계측 그래프,진동속도 PPV와 기준선 표현,B,prompts/IMG-053_진동_계측_그래프.md
IMG-054,시스템/경보,경보 단계 프로세스,정상-주의-경고-위험-조치 흐름,A,prompts/IMG-054_경보_단계_프로세스.md
IMG-055,시스템/경보,모바일 경보 알림 화면,실제 휴대폰 알림창 형태의 경보 표현,A,prompts/IMG-055_모바일_경보_알림_화면.md
IMG-056,시스템/대시보드,웹 대시보드 구성도,"지도, 센서목록, 그래프, 이벤트 로그",A,prompts/IMG-056_웹_대시보드_구성도.md
IMG-057,시스템/보고서,자동 보고서 생성 흐름도,계측 데이터에서 PDF 보고서까지,B,prompts/IMG-057_자동_보고서_생성_흐름도.md
IMG-058,시스템/통합,통합 계측 플랫폼 아키텍처,센서-로거-서버-DB-웹-모바일 구조,A,prompts/IMG-058_통합_계측_플랫폼_아키텍처.md
IMG-059,시스템/관리기준,관리기준 설정 개념도,센서별 기준치와 경보 조건 설정,B,prompts/IMG-059_관리기준_설정_개념도.md
IMG-060,시스템/데이터품질,데이터 품질관리 흐름도,수집-검증-보정-분석-보고 절차,B,prompts/IMG-060_데이터_품질관리_흐름도.md
IMG-061,분야/터널,터널 천단침하 계측 개념도,터널 내부 천단 측점·프리즘·ATS 측량 — 내공변위와 구분,A,prompts/IMG-061_천단침하계_외부_수준점_계측_개념도.md
IMG-062,분야별/가시설,지하수위·간극수압 계측도,배면 지반 관측공·천공 내 수위계·간극수압계 배치,A,prompts/IMG-062_지하수위_간극수압_계측도.md
IMG-063,분야별/터널,막장전방 선행변위 계측 개념도,막장 전방 지반 선행변위계·굴진·막장거리,A,prompts/IMG-063_막장전방_선행변위_계측_개념도.md
IMG-064,분야별/항만·호안,항만·호안 계측 전체 개념도,[좌]육측|케이슨·안벽|[우]해측 횡단·구조물·주변지반·조위,A,prompts/IMG-064_항만-호안-계측-전체-개념도.md
IMG-065,시스템/전원,현장 계측 전원 통합 구성도,태양광·풍력·AC·AVR·배터리 통합,A,prompts/IMG-065_현장_계측_전원_통합_구성도.md
IMG-066,시스템/전원,상시 전원 AC 인입,배전반·차단기·AC-DC 정류,A,prompts/IMG-066_상시_전원_AC_인입.md
IMG-067,시스템/전원,AVR 자동전압조정기,불안정 AC 입력 전압 안정화,A,prompts/IMG-067_AVR_자동전압조정기.md
IMG-068,시스템/전원,풍력 하이브리드 전원,태양광·풍력·공용 배터리,A,prompts/IMG-068_풍력_하이브리드_전원.md
IMG-069,시스템/전원,배터리·축전 시스템,용량·종류·DoD·모니터링,A,prompts/IMG-069_배터리_축전_시스템.md
IMG-070,시스템/계측방식,수동 계측 개념도,현장 방문·리드아웃·현장 기록,A,prompts/IMG-070_수동_계측_개념도.md
IMG-071,시스템/계측방식,자동 계측 개념도,데이터로거·현장 저장·수집 주기,A,prompts/IMG-071_자동_계측_개념도.md
IMG-072,시스템/계측방식,원격 자동계측 개념도,현장·통신·서버·원격 모니터링,A,prompts/IMG-072_원격_자동계측_개념도.md
IMG-073,시스템/계측방식,스마트 계측 개념도,플랫폼·경보·보고·이벤트 로그,A,prompts/IMG-073_스마트_계측_개념도.md
IMG-074,시스템/계측방식,AI 계측 개념도,이상탐지·예측·HITL 보조,A,prompts/IMG-074_AI_계측_개념도.md
IMG-075,시스템/계측방식,계측 방식 5단계 계층도,수동·자동·원격·스마트·AI 포함 관계,A,prompts/IMG-075_계측_방식_5단계_계층도.md
IMG-076,시스템/데이터로거,동적 데이터로거 구성도,모듈형 DAQ·고속 동시 샘플링·IEPE 입력,A,prompts/IMG-076_동적_데이터로거_구성도.md
IMG-077,시스템/데이터로거,멀티플렉서(MUX) 구성도,체인 센서·순차 스캔·정적 로거 채널 확장,A,prompts/IMG-077_멀티플렉서_구성도.md
IMG-078,분야별/터널,록볼트 축력 계측 개념도,록볼트 축력계·변형률계 천단·어깨 배치,A,prompts/IMG-078_록볼트_축력_계측_개념도.md
IMG-079,분야별/터널,숏크리트 응력·변형 계측 개념도,변형률계 매립·라이닝 부담,A,prompts/IMG-079_숏크리트_응력_변형_계측_개념도.md
IMG-080,분야별/터널,강지보 응력 계측 개념도,스틸 세트·변형률계,A,prompts/IMG-080_강지보_응력_계측_개념도.md
IMG-081,분야별/건축,기둥 축소량 계측 개념도,수직 변형률계·층별 축소,A,prompts/IMG-081_기둥_축소량_계측_개념도.md
IMG-082,분야별/건축,건축 응력·변형률 계측 개념도,중대 부재·하중계,A,prompts/IMG-082_건축_응력변형률_계측_개념도.md
IMG-083,분야별/댐,댐 변형률 계측 개념도,제체 매립 변형률계,A,prompts/IMG-083_댐_변형률_계측_개념도.md
IMG-084,분야별/항만,항만구조물 변위 계측 개념도,케이슨·안벽 변위계,A,prompts/IMG-084_항만구조물_변위_계측_개념도.md
IMG-085,분야별/교량,교량 종·횡변위 계측 개념도,이음부·상부구조 변위계,A,prompts/IMG-085_교량_종횡변위_계측_개념도.md
IMG-086,분야별/교량,교량 진동 계측 개념도,가속도계·통행 응답,A,prompts/IMG-086_교량_진동_계측_개념도.md
IMG-087,분야별/구조물,구조물 지진 계측 개념도,강진동·응답 스펙트럼,A,prompts/IMG-087_구조물_지진_계측_개념도.md
IMG-088,분야별/구조물,구조물 온도 계측 개념도,온도계·수화열·계절 변동,A,prompts/IMG-088_구조물_온도_계측_개념도.md
IMG-096,분야별/가시설,가시설 주변지반 계측 설치 대표 단면도,센서형 다단식 지중경사계·침하·간극수압·지하수위 4종·H·2H,A,prompts/IMG-096_주변지반_계측_설치_대표_단면도.md
IMG-097,분야별/터널,터널 발파진동·영향권 계측 개념도,PPV·가속도계 측점·영향권,A,prompts/IMG-097_터널_발파진동_영향권_계측_개념도.md
IMG-103,분야별/교량,교량 상부구조 처짐 계측도,거더·PSC 연직변위 δ · 처짐계·광파,A,prompts/IMG-103_교량_상부구조_처짐_계측도.md
IMG-104,센서/처짐계,처짐계 설치·측정 개념도,LVDT·와이어 — 구조 처짐 전용,A,prompts/IMG-104_처짐계_설치_개념도.md
IMG-105,분야별/교량,교량 케이블 장력 계측도,사장교·주파수법 · ≠앵커 로드셀,A,prompts/IMG-105_교량_케이블장력_계측도.md
IMG-106,센서/케이블장력계,케이블장력계 설치 개념도,노출 케이블 ACC·주파수,A,prompts/IMG-106_케이블장력계_설치_개념도.md
IMG-107,분야별/교량,교량 변형률·응력 계측도,PSC·강재 휨·전단 SG,A,prompts/IMG-107_교량_변형률_응력_계측도.md
IMG-108,센서/무응력계,무응력계 설치 개념도,크리프·건조수축 보정,B,prompts/IMG-108_무응력계_설치_개념도.md
IMG-109,분야별/교량,교량 풍향·풍속 계측도,주탑·교면 · 진동 연계,A,prompts/IMG-109_교량_풍향풍속_계측도.md
IMG-110,분야별/교량,교량 받침부 변위 계측도,받침 슬라이드·회전 — ≠신축이음,A,prompts/IMG-110_교량_받침부_변위_계측도.md
